txid,formattedDate,timestamp,amount,direction
4000916061925116b4973b02d4d5b9067bac63fb652c7c830a170bfce388659e,"18 Feb 2020, 14:06",1582052796,0.21483,received
4731f17db9349ebb09b21da22814744420e67bd822d5b6bf3ee554528545f755,"18 Feb 2020, 11:49",1582044588,0.28551599,received
42e9735f9ac1ac8f7e5a52c58129ef024d40b48c29465305afe7f45ffc1474dd,"18 Feb 2020, 09:47",1582037233,0.20097,received
3eb7f5a14e3c197e2eb8b0017ff986a9df6e670405677f4b80d89e5bd9fa37da,"18 Feb 2020, 07:28",1582028927,0.28898096,received
86ecdec3c82a8bc81de908ad15830481385cbd75dc9f2e93bd8d1259f1ade6a4,"18 Feb 2020, 05:24",1582021470,0.18710999,received
c999adf030e37beeac72b2aef53c0a6fa2df6c470ae076c6d15a0f69c72097a5,"18 Feb 2020, 02:58",1582012696,0.14275799,received
9698a22dffe0bcc7a2251d658658d17852d7a42e367fa42f15cb5888f671b1d8,"18 Feb 2020, 00:53",1582005183,0.14206498,received
8bdd4d2951af49bd6d033ac0c43e6e26496605d3d52d66e51128faae300dadac,"17 Feb 2020, 22:45",1581997527,0.20928597,received
fa2534fc9111fe537fce5ad7db4cd65a1b7d5c6a4cefb6ccf01f6a5c7339b8bc,"17 Feb 2020, 20:34",1581989679,0.23146199,received
f55f83a23b2aef33e59c6a16e2685a89f174ff03b74601acf35111f25b085dc3,"17 Feb 2020, 18:28",1581982136,0.185031,received
b25af9730669c47d17c29475d691346f3988ddc0d285f58776231965065e3306,"17 Feb 2020, 16:23",1581974591,0.23215496,received
1e33efc55b13b38aa47aa96ca6ba850e770f7012e973b6d6c821388351353430,"17 Feb 2020, 14:05",1581966332,0.23146198,received
d5ef37f1a5fd5bebac1dbe93ef21199994e77c6e1138c8d2da41e39bf59353b3,"17 Feb 2020, 12:02",1581958920,0.320166,received
961e65f124583d87afed653f9579428758135fb8149413f806e8f141eeecf8ef,"17 Feb 2020, 08:32",1581946358,0.23146198,received
68e4f7a9e562081f83be31d1cae35d792051e429b0dfb119210c9a8b16b515bd,"17 Feb 2020, 06:16",1581938166,0.26333996,received
2e995a0f3071d7c06d6fa084b70d358cd5b5bfcebccbf8d136677087b9f0e14a,"17 Feb 2020, 04:08",1581930504,0.18572395,received
7ea67b60e500b44880a4b4a9051315df25bdc7cc2c1c48dc7e8a4a729cb6e50f,"17 Feb 2020, 01:55",1581922542,0.19196094,received
7c90ad1bad9f7b50caa1499af89e37f7cbc894dfd62a71b7d9461241c22e1f6d,"16 Feb 2020, 23:52",1581915172,0.27927897,received
